Thread_No,Thread_Name,R,G,B
16535,STRAW GOLD,250,250,244
16372,PALE LEMON,241,242,236
14509,LIME GREEN,228,228,221
16533,MOSS GREEN,154,155,145
16534,LICHEN,249,250,242
16550,LINCOLN GREEN,163,164,157
16549,FELT GREEN,187,187,177
16552,ISLAND GREEN,141,141,131
16562,YUCCA GREEN,251,251,242
14437,GOOSEBERRY,158,158,149
16553,MEDIUM GREEN,251,251,243
13377,DUSTY GREEN,218,219,207
16563,HOLLY GREEN,164,166,154
14732,ORGANIC GREEN,252,148,86
13396,OAK GREEN,128,127,120
13318,GOLDEN CREAM,147,146,138
16536,PALE KHAKI,194,194,183
13327,ARMY BEIGE,209,209,199
16537,ALPINE MOSS,148,149,137
16386,DARK STRAW,105,107,95
13347,MOUNTAIN MIST,250,251,242
16389,BURNISHED BRONZE,245,246,236
16390,SANDY KHAKI,167,168,158
16539,DEEP KHAKI,126,126,116
13366,VERDANT GREEN,250,251,241
16540,DARK KHAKI,235,235,225
19234,MILITARY OLIVE,237,233,220
19507,VINTAGE BRONZE,143,142,138
15762,ANTIQUE OAK,192,190,182
14808,MILITARY GREEN,148,147,137
16391,PALE SNAD,151,151,142
16398,HOT SAND,196,196,187
16401,WARM BEIGE,138,138,130
16402,BEIGE,220,219,211
16400,LIGHT CCAMEL,195,195,185
19209,CAMEL,132,132,122
19021,GODLEN BROWN,246,143,70
16418,SANDY GOLD,227,227,216
16420,DRY BROWN,251,251,241
16403,GOLDEN KHAKI,122,122,112
16414,HAVANA BEIGE,234,234,224
19885,STRAW BROWN,190,190,180
19232,PALE TAMARIND,100,100,90
14763,MOCHA,156,156,146
14799,TEAK,120,119,111
16392,TROPICAL SAND,253,253,245
19311,PALE GOLD,153,153,145
8858,POON GOLD,172,171,158
16404,SOFT GOLD,135,136,124
15554,CLASSIC GOLD,216,216,205
19043,INCA GOLD,199,199,187
13941,CHINA GOLD,251,251,239
17651,SPARKLING BRONZE,235,235,223
14055,BRONZE,154,154,142
16409,CHOCLATE,252,252,240
18658,HOT CHOCOLATE,160,160,150
13971,PALE CINNAMON,214,213,210
16434,CINNAMON,191,190,188
14398,BRAZIL NUT,175,173,170
13992,DARK MOLASSES,241,237,200
13911,PALE LATTE,249,241,196
13922,LATTE,161,162,153
16406,PANAMA BEIGE,220,220,218
18915,MANDARIN BEIGE,237,227,214
16327,COPPER TINT,196,196,194
13944,HOT BRICK,76,88,88
16422,COPPER,246,235,170
16423,ASH BROWN,140,141,132
16425,HOT BROWN,241,209,57
16431,SWEET BROWN,238,238,169
16428,COCOA,254,229,170
16433,TAMARIND,220,221,217
16432,ROSEWOOD,135,135,135
